"HIT_ID","EVENT_OCCURRED_UTC","APP_NAME","APP_VERSION","CLIENT_ID","SESSION_ID","EVENTNAME"
"3119","2024-04-02 04:01:06","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","ca506bf0-709c-586a-8e40-ebdc79461699","33a7f55c-f055-11ee-8639-fe7df7e01fb3","heartBeat"
"44","2024-04-02 04:01:08","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"16","2024-04-02 04:01:28","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"98","2024-04-02 04:01:48","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"69","2024-04-02 04:02:08","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"30","2024-04-02 04:02:28","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"107","2024-04-02 04:02:48","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"84","2024-04-02 04:03:08","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"39","2024-04-02 04:03:28","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"551","2024-04-02 04:03:39","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","03c1c219-1440-57cf-9149-98bc69046475","eea1a18a-f09c-11ee-a693-7e37dda71428","cmPodEnd"
"109","2024-04-02 04:03:48","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"83","2024-04-02 04:04:08","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"35","2024-04-02 04:04:28","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
